Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
COLONOSCOPY THRU STOMA W/ ENDOSCOPIC ULTRASOUND,Outpatient,CPT® 44406,1,0750 - GASTROINTESTINAL SERVICES,1760.0,1144.0,1453.76,1620.96,281.6,334.4,1040.26,1040.26,44406,Colonoscopy w/ultrasound
Hc Colonoscopy Stoma W  Decompression,Outpatient,CPT® 44408,1,0750 - GASTROINTESTINAL SERVICES,1696.0,1102.4,1400.9,1562.02,271.36,322.24,,,44408,Colonoscopy w/decompression
Hc Introduction Long Gi Tube,Outpatient,CPT® 44500,1,0361 - MINOR SURGERY,989.0,642.85,816.91,910.87,158.24,187.91,,,44500,Intro gastrointestinal tube
Hc Unlist Procedure Intestine,Outpatient,CPT® 44799,1,0361 - MINOR SURGERY,755.0,490.75,623.63,695.36,120.8,143.45,812.18,812.18,44799,Unlisted px small intestine
Hc Proctosigmoidoscopy Rigid,Outpatient,CPT® 45300,1,0750 - GASTROINTESTINAL SERVICES,320.0,208.0,264.32,294.72,51.2,60.8,796.18,796.18,45300,Proctosigmoidoscopy dx
Hc Proctosigmoidoscopy W Biopsy,Outpatient,CPT® 45305,1,0750 - GASTROINTESTINAL SERVICES,1105.0,718.25,912.73,1017.71,176.8,209.95,,,45305,Proctosigmoidoscopy w/bx
Hc Sigmoidoscopy,Outpatient,CPT® 45330,1,0750 - GASTROINTESTINAL SERVICES,1359.0,883.35,1122.53,1251.64,217.44,258.21,796.18,796.18,45330,Diagnostic sigmoidoscopy
Hc Sigmoidoscopy W Biopsy,Outpatient,CPT® 45331,1,0750 - GASTROINTESTINAL SERVICES,1446.0,939.9,1194.4,1331.77,231.36,274.74,796.18,796.18,45331,Sigmoidoscopy and biopsy
Hc Sigmoidoscopy W Removal Fb,Outpatient,CPT® 45332,1,0750 - GASTROINTESTINAL SERVICES,1537.0,999.0500000000001,1269.56,1415.58,245.92000000000002,292.03000000000003,1040.26,1040.26,45332,Sigmoidoscopy w/fb removal
Hc Sigmoidoscopy W Polypectomy,Outpatient,CPT® 45333,1,0750 - GASTROINTESTINAL SERVICES,1659.0,1078.3500000000001,1370.33,1527.94,265.44,315.21,796.18,796.18,45333,Sigmoidoscopy & polypectomy
Hc Sigmoidoscopy W Control Bleeding,Outpatient,CPT® 45334,1,0750 - GASTROINTESTINAL SERVICES,1598.0,1038.7,1319.95,1471.76,255.68,303.62,1040.26,1040.26,45334,Sigmoidoscopy for bleeding
Hc Sigmoidoscopy W Injections,Outpatient,CPT® 45335,1,0750 - GASTROINTESTINAL SERVICES,1849.0,1201.8500000000001,1527.27,1702.93,295.84000000000003,351.31,796.18,796.18,45335,Sigmoidoscopy w/submuc inj
Hc Sigmoidoscopy W Decompression Volvulus,Outpatient,CPT® 45337,1,0750 - GASTROINTESTINAL SERVICES,1542.0,1002.3000000000001,1273.69,1420.18,246.72,292.98,,,45337,Sigmoidoscopy & decompress
Hc Sigmoidoscopy W Removal Lesion By Snare,Outpatient,CPT® 45338,1,0750 - GASTROINTESTINAL SERVICES,1959.0,1273.3500000000001,1618.13,1804.24,313.44,372.21,1040.26,1040.26,45338,Sigmoidoscopy w/tumr remove
Hc Sigmoidoscopy W Balloon Dilation,Outpatient,CPT® 45340,1,0750 - GASTROINTESTINAL SERVICES,968.0,629.2,799.57,891.53,154.88,183.92000000000002,1040.26,1040.26,45340,Sig w/tndsc balloon dilation
Hc Sigmoidoscopy W Us Eval,Outpatient,CPT® 45341,1,0750 - GASTROINTESTINAL SERVICES,1461.0,949.65,1206.79,1345.58,233.76,277.59,796.18,796.18,45341,Sigmoidoscopy w/ultrasound
Hc Sigmoidoscopy W Us Guided Fna,Outpatient,CPT® 45342,1,0750 - GASTROINTESTINAL SERVICES,1017.0,661.0500000000001,840.04,936.66,162.72,193.23,1040.26,1040.26,45342,Sigmoidoscopy w/us guide bx
Hc Sigmoidoscopy Flx Ablation Tumor Or Lesion,Outpatient,CPT® 45346,1,0750 - GASTROINTESTINAL SERVICES,1433.0,931.45,1183.66,1319.79,229.28,272.27,1040.26,1040.26,45346,Sigmoidoscopy w/ablation
SIGMOIDOSCOPY; FLEXIBLE W/ ENDOSCOPIC STENT PLACEMENT,Outpatient,CPT® 45347,1,0750 - GASTROINTESTINAL SERVICES,1433.0,931.45,1183.66,1319.79,229.28,272.27,,,45347,Sigmoidoscopy w/plcmt stent
Hc Sigmoidoscopy W Mucosal Resection,Outpatient,CPT® 45349,1,0750 - GASTROINTESTINAL SERVICES,1426.0,926.9,1177.88,1313.35,228.16,270.94,2451.17,2451.17,45349,Sigmoidoscopy w/resection
SIGMOIDOSCOPY; FLEXIBLE W/ BAND LIGATION,Outpatient,CPT® 45350,1,0750 - GASTROINTESTINAL SERVICES,1433.0,931.45,1183.66,1319.79,229.28,272.27,1040.26,1040.26,45350,Sgmdsc w/band ligation
Hc Colonoscopy,Outpatient,CPT® 45378,1,0750 - GASTROINTESTINAL SERVICES,1524.0,990.6,1258.82,1403.6,243.84,289.56,796.18,796.18,45378,Diagnostic colonoscopy
Hc Colonoscopy W Removal Fb,Outpatient,CPT® 45379,1,0750 - GASTROINTESTINAL SERVICES,1822.0,1184.3,1504.97,1678.06,291.52,346.18,1040.26,1040.26,45379,Colonoscopy w/fb removal
Hc Colonoscopy W Biopsy,Outpatient,CPT® 45380,1,0750 - GASTROINTESTINAL SERVICES,1696.0,1102.4,1400.9,1562.02,271.36,322.24,1040.26,1040.26,45380,Colonoscopy and biopsy
Hc Colonoscopy W Injections,Outpatient,CPT® 45381,1,0750 - GASTROINTESTINAL SERVICES,1570.0,1020.5,1296.82,1445.97,251.20000000000002,298.3,1040.26,1040.26,45381,Colonoscopy submucous njx
Hc Colonoscopy W Control Bleeding,Outpatient,CPT® 45382,1,0750 - GASTROINTESTINAL SERVICES,1596.0,1037.4,1318.3,1469.92,255.36,303.24,1040.26,1040.26,45382,Colonoscopy w/control bleed
Hc Colonoscopy W Rem Lesion Forcep,Outpatient,CPT® 45384,1,0750 - GASTROINTESTINAL SERVICES,1617.0,1051.05,1335.64,1489.26,258.72,307.23,1040.26,1040.26,45384,Colonoscopy w/lesion removal
Hc Colonoscopy W Polypectomy,Outpatient,CPT® 45385,1,0750 - GASTROINTESTINAL SERVICES,1760.0,1144.0,1453.76,1620.96,281.6,334.4,1040.26,1040.26,45385,Colonoscopy w/lesion removal
Hc Colonoscopy W Balloon Dilation,Outpatient,CPT® 45386,1,0750 - GASTROINTESTINAL SERVICES,1744.0,1133.6000000000001,1440.54,1606.22,279.04,331.36,1040.26,1040.26,45386,Colonoscopy w/balloon dilat
Hc Colonoscopy Flx Ablation Tumor Or Lesion,Outpatient,CPT® 45388,1,0750 - GASTROINTESTINAL SERVICES,1605.0,1043.25,1325.73,1478.21,256.8,304.95,1040.26,1040.26,45388,Colonoscopy w/ablation
Hc Colonoscopy Flx W Encoscopic Stent Plcmnt,Outpatient,CPT® 45389,1,0750 - GASTROINTESTINAL SERVICES,1112.0,722.8000000000001,918.51,1024.15,177.92000000000002,211.28,,,45389,Colonoscopy w/stent plcmt
Hc Colonoscopy Flx W Decompression,Outpatient,CPT® 45393,1,0750 - GASTROINTESTINAL SERVICES,1760.0,1144.0,1453.76,1620.96,281.6,334.4,1040.26,1040.26,45393,Colonoscopy w/decompression
Hc Colonoscopy Flx  W Band Ligation,Outpatient,CPT® 45398,1,0750 - GASTROINTESTINAL SERVICES,1617.0,1051.05,1335.64,1489.26,258.72,307.23,1040.26,1040.26,45398,Colonoscopy w/band ligation
Hc I&d Ischrec Perirec Abcess,Outpatient,CPT® 46040,1,0450 - EMERGENCY ROOM,1270.0,825.5,1049.02,1169.67,203.20000000000002,241.3,1040.26,1040.26,46040,Incision of rectal abscess
Hc I And D Perianal Abscess,Outpatient,CPT® 46050,1,0450 - EMERGENCY ROOM,552.0,358.8,455.95,508.39,88.32000000000001,104.88,796.18,796.18,46050,Incision of anal abscess
Hc Incision External Hemorrhoid,Outpatient,CPT® 46083,1,0450 - EMERGENCY ROOM,535.0,347.75,441.91,492.74,85.60000000000001,101.65,266.99,266.99,46083,Incise external hemorrhoid
Hc Hemorrhoidectomy Simple Ligature,Outpatient,CPT® 46221,1,0750 - GASTROINTESTINAL SERVICES,1064.0,691.6,878.86,979.94,170.24,202.16,,,46221,Ligation of hemorrhoid(s)
Hc Enuc Excsn Ext Thrm Hemorrd,Outpatient,CPT® 46320,1,0450 - EMERGENCY ROOM,2185.0,1420.25,1804.81,2012.39,349.6,415.15,,,46320,Removal of hemorrhoid clot
Hc Anoscopy,Outpatient,CPT® 46600,1,0450 - EMERGENCY ROOM,382.0,248.3,315.53,351.82,61.120000000000005,72.58,112.31,112.31,46600,Diagnostic anoscopy spx
Hc Dest. Internal Hemorrhoid With Thermal Energy,Outpatient,CPT® 46930,1,0750 - GASTROINTESTINAL SERVICES,1751.0,1138.15,1446.33,1612.67,280.16,332.69,,,46930,Destroy internal hemorrhoids
Hc Unlisted Procedure Anus,Outpatient,CPT® 46999,1,0361 - MINOR SURGERY,1886.0,1225.9,1557.84,1737.01,301.76,358.34000000000003,,,46999,Anus surgery procedure
Hc Biopsy Liver Needle,Outpatient,CPT® 47000,1,0361 - MINOR SURGERY,2460.0,1599.0,2031.96,2265.66,393.6,467.4,1411.48,1411.48,47000,Needle biopsy of liver
Hc Biopsy Liver W Other Procedure,Outpatient,CPT® 47001,1,0361 - MINOR SURGERY,722.0,469.3,596.37,664.96,115.52,137.18,,,47001,Needle biopsy liver add-on
Hc Rf Ablation Liver Percutaneous,Outpatient,CPT® 47382,1,0361 - MINOR SURGERY,6679.0,4341.35,5516.85,6151.36,1068.64,1269.01,5076.55,5076.55,47382,Percut ablate liver rf
Hc Cryoablation Liver Tumor,Outpatient,CPT® 47383,1,0361 - MINOR SURGERY,4307.0,2799.55,3557.58,3966.75,689.12,818.33,5076.55,5076.55,47383,Perq abltj lvr cryoablation
Hc Cholecystostomy W Img And Cath Plcmnt Perc,Outpatient,CPT® 47490,1,0361 - MINOR SURGERY,4101.0,2665.65,3387.43,3777.02,656.16,779.19,3193.55,3193.55,47490,Incision of gallbladder
Hc Injection For Dx Cholangiogram W Img Existing Access,Outpatient,CPT® 47531,1,0361 - MINOR SURGERY,4588.0,2982.2000000000003,3789.69,4225.55,734.08,871.72,3193.55,3193.55,47531,Injection for cholangiogram
Hc Injection For Dx Cholangiogram W Img New Access,Outpatient,CPT® 47532,1,0361 - MINOR SURGERY,8531.0,5545.150000000001,7046.61,7857.05,1364.96,1620.89,,,47532,Injection for cholangiogram
Hc Place Biliary Drain Catheter W Img External,Outpatient,CPT® 47533,1,0361 - MINOR SURGERY,11156.0,7251.400000000001,9214.86,10274.68,1784.96,2119.64,,,47533,Plmt biliary drainage cath
Hc Place Biliary Drain Catheter W Img Internal-external,Outpatient,CPT® 47534,1,0361 - MINOR SURGERY,9854.0,6405.1,8139.4,9075.53,1576.64,1872.26,3193.55,3193.55,47534,Plmt biliary drainage cath
Hc Convert Biliary Drain To Internal-external W Img,Outpatient,CPT® 47535,1,0361 - MINOR SURGERY,6907.0,4489.55,5705.18,6361.35,1105.1200000000001,1312.33,,,47535,Conversion ext bil drg cath
Hc Exchange Biliary Drain Catheter W Img,Outpatient,CPT® 47536,1,0361 - MINOR SURGERY,6907.0,4489.55,5705.18,6361.35,1105.1200000000001,1312.33,3193.55,3193.55,47536,Exchange biliary drg cath
Hc Remove Biliary Drain Catheter W Fluoro,Outpatient,CPT® 47537,1,0361 - MINOR SURGERY,821.0,533.65,678.15,756.14,131.36,155.99,812.18,812.18,47537,Removal biliary drg cath
Hc Place Stent Bile Duct W Img Via Existing Access Each,Outpatient,CPT® 47538,1,0361 - MINOR SURGERY,15637.0,10164.050000000001,12916.16,14401.68,2501.92,2971.03,5076.55,5076.55,47538,Perq plmt bile duct stent
Hc Place Stent Bile Duct W Img Via New Acc Wo Separate Bdc,Outpatient,CPT® 47539,1,0361 - MINOR SURGERY,19580.0,12727.0,16173.08,18033.18,3132.8,3720.2,,,47539,Perq plmt bile duct stent
Hc Place Stent Bile Duct W Img Via New Acc W Separate Bdc,Outpatient,CPT® 47540,1,0361 - MINOR SURGERY,19580.0,12727.0,16173.08,18033.18,3132.8,3720.2,,,47540,Perq plmt bile duct stent
Hc Place Access Thru Biliary Tree/ Small Int W Img Via New Acc,Outpatient,CPT® 47541,1,0361 - MINOR SURGERY,8531.0,5545.150000000001,7046.61,7857.05,1364.96,1620.89,,,47541,Plmt access bil tree sm bwl
Hc Balloon Dilation Biliary Duct Or Ampulla W Img Each Duct,Outpatient,CPT® 47542,1,0361 - MINOR SURGERY,11226.0,7296.900000000001,9272.68,10339.15,1796.16,2132.94,,,47542,Dilate biliary duct/ampulla
Hc Endoluminal Bx Biliary Tree W Img Single Or Mult Add On,Outpatient,CPT® 47543,1,0361 - MINOR SURGERY,9155.0,5950.75,7562.03,8431.76,1464.8,1739.45,,,47543,Endoluminal bx biliary tree
Hc Remove Calculi Or Debris From Biliary Duct Or Gallbladder,Outpatient,CPT® 47544,1,0361 - MINOR SURGERY,15239.0,9905.35,12587.41,14035.12,2438.2400000000002,2895.41,,,47544,Removal duct glbldr calculi
Hc Biliary Endo Perc With Biopsy,Outpatient,CPT® 47553,1,0361 - MINOR SURGERY,3405.0,2213.25,2812.53,3136.01,544.8,646.95,,,47553,Biliary endoscopy thru skin
Hc Biliary Endo Perc With Calculus Removal,Outpatient,CPT® 47554,1,0361 - MINOR SURGERY,4337.0,2819.05,3582.36,3994.38,693.92,824.03,,,47554,Biliary endoscopy thru skin
Hc Unlisted Procedure Biliary Tract,Outpatient,CPT® 47999,1,0361 - MINOR SURGERY,2265.0,1472.25,1870.89,2086.07,362.40000000000003,430.35,,,47999,Bile tract surgery procedure
Hc Biopsy Pancreas Perc Needle,Outpatient,CPT® 48102,1,0361 - MINOR SURGERY,1914.0,1244.1000000000001,1580.96,1762.79,306.24,363.66,1411.48,1411.48,48102,Needle biopsy pancreas
UNLISTED PROCEDURE PANCREAS,Outpatient,CPT® 48999,1,0361 - MINOR SURGERY,2265.0,1472.25,1870.89,2086.07,362.40000000000003,430.35,623.95,623.95,48999,Pancreas surgery procedure
Hc Abdominal Paracentesis Wo Img,Outpatient,CPT® 49082,1,0361 - MINOR SURGERY,2468.0,1604.2,2038.57,2273.03,394.88,468.92,812.18,812.18,49082,Abd paracentesis
Hc Abdominal Paracentesis W Img,Outpatient,CPT® 49083,1,0361 - MINOR SURGERY,2468.0,1604.2,2038.57,2273.03,394.88,468.92,812.18,812.18,49083,Abd paracentesis w/imaging
Hc Peritoneal Lavage,Outpatient,CPT® 49084,1,0450 - EMERGENCY ROOM,899.0,584.35,742.57,827.98,143.84,170.81,,,49084,Peritoneal lavage
Hc Biopsy Abd Or Retroperitoneal Needle Perc,Outpatient,CPT® 49180,1,0361 - MINOR SURGERY,2982.0,1938.3,2463.13,2746.42,477.12,566.58,1411.48,1411.48,49180,Biopsy abdominal mass
Hc Sclerotherapy For Fluid Collection W Img,Outpatient,CPT® 49185,1,0361 - MINOR SURGERY,4596.0,2987.4,3796.3,4232.92,735.36,873.24,623.95,623.95,49185,Sclerotx fluid collection
Hc Injection Air Or Contrast Peritoneal Cavity,Outpatient,CPT® 49400,1,0361 - MINOR SURGERY,3068.0,1994.2,2534.17,2825.63,490.88,582.92,,,49400,Air injection into abdomen
Hc Img Guide Fluid Coll Drng By Cath Visceral Perc,Outpatient,CPT® 49405,1,0361 - MINOR SURGERY,6222.0,4044.3,5139.37,5730.46,995.52,1182.18,1411.48,1411.48,49405,Image cath fluid colxn visc
Hc Img Guide Fluid Coll Drng By Cath Peri Or Retro Perc,Outpatient,CPT® 49406,1,0361 - MINOR SURGERY,6222.0,4044.3,5139.37,5730.46,995.52,1182.18,1411.48,1411.48,49406,Image cath fluid peri/retro
Hc Img Guide Fluid Coll Drng By Cath Transvag Or Rec Perc,Outpatient,CPT® 49407,1,0361 - MINOR SURGERY,5461.0,3549.65,4510.79,5029.58,873.76,1037.59,,,49407,Image cath fluid trns/vgnl
Hc Plcmnt Fiducial Dev Rt Guid Abd Pelvis Retro,Outpatient,CPT® 49411,1,0361 - MINOR SURGERY,2320.0,1508.0,1916.32,2136.72,371.2,440.8,1266.2,1266.2,49411,Ins mark abd/pel for rt perq
Hc Insert Tunneled Intraperitoneal Cath W Img,Outpatient,CPT® 49418,1,0361 - MINOR SURGERY,6398.0,4158.7,5284.75,5892.56,1023.6800000000001,1215.6200000000001,3193.55,3193.55,49418,Insert tun ip cath perc
Hc Insert Tunneled Intraperitoneal Cath Subq Port,Outpatient,CPT® 49419,1,0361 - MINOR SURGERY,5854.0,3805.1,4835.4,5391.53,936.64,1112.26,4785.56,4785.56,49419,Insert tun ip cath w/port
Hc Insert Tunneled Intraperitoneal Cath Open,Outpatient,CPT® 49421,1,0361 - MINOR SURGERY,6398.0,4158.7,5284.75,5892.56,1023.6800000000001,1215.6200000000001,,,49421,Ins tun ip cath for dial opn
Hc Remove Tunneled Intraperitoneal Cath,Outpatient,CPT® 49422,1,0361 - MINOR SURGERY,2924.0,1900.6000000000001,2415.22,2693.0,467.84000000000003,555.5600000000001,2870.77,2870.77,49422,Remove tunneled ip cath
Hc Drainage Catheter Exchange W Img,Outpatient,CPT® 49423,1,0361 - MINOR SURGERY,1219.0,792.35,1006.89,1122.7,195.04,231.61,1630.19,1630.19,49423,Exchange drainage catheter
Hc Inject Contrast Abscess Or Cyst,Outpatient,CPT® 49424,1,0361 - MINOR SURGERY,1579.0,1026.3500000000001,1304.25,1454.26,252.64000000000001,300.01,,,49424,Assess cyst contrast inject
Hc Insert Peritoneal-venous Shunt,Outpatient,CPT® 49425,1,0361 - MINOR SURGERY,2997.0,1948.05,2475.52,2760.24,479.52,569.43,,,49425,Insert abdomen-venous drain
Hc Inject Contrast Shuntogram,Outpatient,CPT® 49427,1,0361 - MINOR SURGERY,2225.0,1446.25,1837.85,2049.23,356.0,422.75,,,49427,Injection abdominal shunt
Hc Place G Tube Percutaneous W Fluoro,Outpatient,CPT® 49440,1,0361 - MINOR SURGERY,5675.0,3688.75,4687.55,5226.68,908.0,1078.25,1630.19,1630.19,49440,Place gastrostomy tube perc
Hc Place J Tube Percutaneous W Fluoro,Outpatient,CPT® 49441,1,0361 - MINOR SURGERY,5675.0,3688.75,4687.55,5226.68,908.0,1078.25,1630.19,1630.19,49441,Place duod/jej tube perc
INSERTION OF CECOSTOMY OR COLONIC TUBE PERCUTANEOUS W GUIDANCE,Outpatient,CPT® 49442,1,0361 - MINOR SURGERY,5675.0,3688.75,4687.55,5226.68,908.0,1078.25,,,49442,Place cecostomy tube perc
Hc Convert G To Gj Tube W Fluoro,Outpatient,CPT® 49446,1,0361 - MINOR SURGERY,3953.0,2569.4500000000003,3265.18,3640.71,632.48,751.07,1630.19,1630.19,49446,Change g-tube to g-j perc
Hc Replace G Tube W Fluoro,Outpatient,CPT® 49450,1,0361 - MINOR SURGERY,6398.0,4158.7,5284.75,5892.56,1023.6800000000001,1215.6200000000001,812.18,812.18,49450,Replace g/c tube perc
Hc Replace J Tube W Fluoro,Outpatient,CPT® 49451,1,0361 - MINOR SURGERY,6398.0,4158.7,5284.75,5892.56,1023.6800000000001,1215.6200000000001,812.18,812.18,49451,Replace duod/jej tube perc
Hc Replace G J Tube W Fluoro,Outpatient,CPT® 49452,1,0361 - MINOR SURGERY,8849.0,5751.85,7309.27,8149.93,1415.84,1681.31,812.18,812.18,49452,Replace g-j tube perc
Hc Obstructive Material Removal From Gi Tube,Outpatient,CPT® 49460,1,0361 - MINOR SURGERY,5642.0,3667.3,4660.29,5196.28,902.72,1071.98,,,49460,Fix g/colon tube w/device
Hc Inject Contrast Existing G Tube,Outpatient,CPT® 49465,1,0761 - TREATMENT ROOM,2813.0,1828.45,2323.54,2590.77,450.08,534.47,230.86,230.86,49465,Fluoro exam of g/colon tube
Hc Repair Recurrent Inguinal Hernia,Outpatient,CPT® 49520,1,0361 - MINOR SURGERY,3405.0,2213.25,2812.53,3136.01,544.8,646.95,,,49520,Rerepair ing hernia reduce
Hc Unlisted Procedure Abd Peritoneum Omentum,Outpatient,CPT® 49999,1,0361 - MINOR SURGERY,3212.0,2087.8,2653.11,2958.25,513.92,610.28,812.18,812.18,49999,Abdomen surgery procedure
Hc Nephrostolithotomy Up To 2cm,Outpatient,CPT® 50080,1,0361 - MINOR SURGERY,1693.0,1100.45,1398.42,1559.25,270.88,321.67,,,50080,Removal of kidney stone
Hc Biopsy Renal Percutaneous Needle,Outpatient,CPT® 50200,1,0361 - MINOR SURGERY,4630.0,3009.5,3824.38,4264.23,740.8000000000001,879.7,1411.48,1411.48,50200,Renal biopsy perq
Hc Rem And Repl Ureteral Stent Perc,Outpatient,CPT® 50382,1,0361 - MINOR SURGERY,8704.0,5657.6,7189.5,8016.38,1392.64,1653.76,1798.7,1798.7,50382,Change ureter stent percut
Hc Rem Ureteral Stent Perc,Outpatient,CPT® 50384,1,0361 - MINOR SURGERY,8849.0,5751.85,7309.27,8149.93,1415.84,1681.31,,,50384,Remove ureter stent percut
Hc Rem And Repl Ureteral Stent Transurethral,Outpatient,CPT® 50385,1,0361 - MINOR SURGERY,8849.0,5751.85,7309.27,8149.93,1415.84,1681.31,,,50385,Change stent via transureth
Hc Rem Ureteral Stent Transurethral,Outpatient,CPT® 50386,1,0361 - MINOR SURGERY,2877.0,1870.05,2376.4,2649.72,460.32,546.63,,,50386,Remove stent via transureth
Hc Rem And Repl Transnephric Ureteral Stent,Outpatient,CPT® 50387,1,0361 - MINOR SURGERY,8849.0,5751.85,7309.27,8149.93,1415.84,1681.31,1798.7,1798.7,50387,Change nephroureteral cath
Hc Remove Nephrostomy Tube,Outpatient,CPT® 50389,1,0361 - MINOR SURGERY,1199.0,779.35,990.37,1104.28,191.84,227.81,576.6,576.6,50389,Remove renal tube w/fluoro
Hc Inj And Or Asp Renal Cyst Or Pelvis,Outpatient,CPT® 50390,1,0361 - MINOR SURGERY,2333.0,1516.45,1927.06,2148.69,373.28000000000003,443.27,623.95,623.95,50390,Drainage of kidney lesion
Hc Manometric Study Thru Tube,Outpatient,CPT® 50396,1,0361 - MINOR SURGERY,5661.0,3679.65,4675.99,5213.78,905.76,1075.59,576.6,576.6,50396,Measure kidney pressure
Hc Inj For Dx Nephrostogram Or Ureterogram W Img Via New Acc,Outpatient,CPT® 50430,1,0361 - MINOR SURGERY,4375.0,2843.75,3613.75,4029.38,700.0,831.25,576.6,576.6,50430,Njx px nfrosgrm &/urtrgrm
Hc Inj For Dx Nephrostogram Or Ureterogram W Img Via Exist Acc,Outpatient,CPT® 50431,1,0361 - MINOR SURGERY,4375.0,2843.75,3613.75,4029.38,700.0,831.25,576.6,576.6,50431,Njx px nfrosgrm &/urtrgrm
Hc Place Nephrostomy Catheter W Img,Outpatient,CPT® 50432,1,0361 - MINOR SURGERY,5583.0,3628.9500000000003,4611.56,5141.94,893.28,1060.77,1798.7,1798.7,50432,Plmt nephrostomy catheter
Hc Place Nephroureteral Catheter W Img Via New Access,Outpatient,CPT® 50433,1,0361 - MINOR SURGERY,6223.0,4044.9500000000003,5140.2,5731.38,995.6800000000001,1182.3700000000001,3086.14,3086.14,50433,Plmt nephroureteral catheter
Hc Convert Nephrostomy Cath To Nephroureteral Cath W Img Exist Tract,Outpatient,CPT® 50434,1,0361 - MINOR SURGERY,6223.0,4044.9500000000003,5140.2,5731.38,995.6800000000001,1182.3700000000001,1798.7,1798.7,50434,Convert nephrostomy catheter
Hc Exchange Nephrostomy Cath  W Img Via Existing Tract,Outpatient,CPT® 50435,1,0361 - MINOR SURGERY,7708.0,5010.2,6366.81,7099.07,1233.28,1464.52,1798.7,1798.7,50435,Exchange nephrostomy cath
Hc Dilation Of Exst Tract W Guid W Tube Plcmt,Outpatient,CPT® 50436,1,0361 - MINOR SURGERY,10316.0,6705.400000000001,8521.02,9501.04,1650.56,1960.04,3086.14,3086.14,50436,Dilat xst trc ndurlgc px
Hc Dilation Of Exst Tract W Guid W Tube Plcmt Incl New Access,Outpatient,CPT® 50437,1,0361 - MINOR SURGERY,10316.0,6705.400000000001,8521.02,9501.04,1650.56,1960.04,3086.14,3086.14,50437,Dilat xst trc new access rcs
Hc Rf Ablation Renal Tumors Percutaneous,Outpatient,CPT® 50592,1,0361 - MINOR SURGERY,5582.0,3628.3,4610.73,5141.02,893.12,1060.58,5076.55,5076.55,50592,Perc rf ablate renal tumor
Hc Cryotherapy Ablation Renal Tumors,Outpatient,CPT® 50593,1,0361 - MINOR SURGERY,3212.0,2087.8,2653.11,2958.25,513.92,610.28,8936.02,8936.02,50593,Perc cryo ablate renal tum
Hc Endoluminal Biopsy Ureter Or Renal Pelvis W Img Add On,Outpatient,CPT® 50606,1,0361 - MINOR SURGERY,1398.0,908.7,1154.75,1287.56,223.68,265.62,,,50606,Endoluminal bx urtr rnl plvs
Hc Inj For Ureterography Or Ureteropyelography,Outpatient,CPT® 50684,1,0361 - MINOR SURGERY,1224.0,795.6,1011.02,1127.3,195.84,232.56,,,50684,Injection for ureter x-ray
Hc Change Nephroureteral Tube Or Stent,Outpatient,CPT® 50688,1,0361 - MINOR SURGERY,2265.0,1472.25,1870.89,2086.07,362.40000000000003,430.35,1798.7,1798.7,50688,Change of ureter tube/stent
Hc Injection Ileal Conduit,Outpatient,CPT® 50690,1,0361 - MINOR SURGERY,2265.0,1472.25,1870.89,2086.07,362.40000000000003,430.35,,,50690,Injection for ureter x-ray
Hc Place Ureteral Stent W Img Via Existing Tract,Outpatient,CPT® 50693,1,0361 - MINOR SURGERY,6223.0,4044.9500000000003,5140.2,5731.38,995.6800000000001,1182.3700000000001,3086.14,3086.14,50693,Plmt ureteral stent prq
Hc Place Ureteral Stent W Img Via New Access Wo Separate Neph Cath,Outpatient,CPT® 50694,1,0361 - MINOR SURGERY,6223.0,4044.9500000000003,5140.2,5731.38,995.6800000000001,1182.3700000000001,3086.14,3086.14,50694,Plmt ureteral stent prq
Hc Place Ureteral Stent W Img Via New Access W Separate Neph Cath,Outpatient,CPT® 50695,1,0361 - MINOR SURGERY,6223.0,4044.9500000000003,5140.2,5731.38,995.6800000000001,1182.3700000000001,3086.14,3086.14,50695,Plmt ureteral stent prq
Hc Ureteral Embolization Or Occlusion W Img Add On,Outpatient,CPT® 50705,1,0361 - MINOR SURGERY,1309.0,850.85,1081.23,1205.59,209.44,248.71,,,50705,Ureteral embolization/occl
Hc Balloon Dilation Or Ureteral Stricture W Img Add On,Outpatient,CPT® 50706,1,0361 - MINOR SURGERY,1398.0,908.7,1154.75,1287.56,223.68,265.62,,,50706,Balloon dilate urtrl strix
Hc Cystostomy Cystotomy W Drainage,Outpatient,CPT® 51040,1,0361 - MINOR SURGERY,5404.0,3512.6,4463.7,4977.08,864.64,1026.76,,,51040,Incise & drain bladder
Hc Aspiration Bladder W Ins Suprapubic Cath,Outpatient,CPT® 51102,1,0361 - MINOR SURGERY,2265.0,1472.25,1870.89,2086.07,362.40000000000003,430.35,1798.7,1798.7,51102,Drain bl w/cath insertion
Hc Inj Cystography Or Voiding Urethrocysto,Outpatient,CPT® 51600,1,0361 - MINOR SURGERY,2238.0,1454.7,1848.59,2061.2,358.08,425.22,,,51600,Injection for bladder x-ray
